"country","customer_id","invoice_number","invoice_generated_date","invoice_due_date","invoice_amount","invoice_settled_date","days_to_settle","days_late","invoice_status","invoice_dispute_resolution"
France,"4640-FGEJI",5445841992,2021-10-21,2021-11-20,9742,2021-11-14,24,0,Disputed,In favor of Customer
France,"5573-KSOIA",769617971,2021-01-17,2021-02-16,8627,2021-02-28,42,12,Disputed,In favor of Customer
China,"8156-PCYBM",5453381490,2021-06-10,2021-07-10,6264,2021-07-14,34,4,Accepted,In favor of Yellevate
United States,"7260-ZHAKS",5454474839,2020-08-30,2020-09-29,10051,2020-09-26,27,0,Accepted,In favor of Yellevate
China,"2820-XGXSB",5458519467,2020-05-02,2020-06-01,7362,2020-05-07,5,0,Accepted,In favor of Yellevate
China,"8820-BLYDZ",5464873037,2021-08-28,2021-09-27,9883,2021-08-31,3,0,Accepted,In favor of Yellevate
France,"8389-TCXFQ",5471402464,2021-01-09,2021-02-08,5120,2021-01-24,15,0,Accepted,In favor of Yellevate
France,"4651-PMEXQ",5473678800,2021-09-05,2021-10-05,7029,2021-09-28,23,0,Accepted,In favor of Yellevate
France,"6833-ETVHD",5480294344,2020-10-01,2020-10-31,7456,2020-10-20,19,0,Accepted,In favor of Yellevate
United States,"3831-FXWYK",5485299924,2020-11-02,2020-12-02,7447,2020-12-17,45,15,Accepted,In favor of Yellevate
France,"5573-KSOIA",4403696251,2021-01-24,2021-02-23,8137,2021-03-14,49,19,Disputed,In favor of Yellevate
France,"5573-KSOIA",5506147573,2021-10-02,2021-11-01,8431,2021-10-26,24,0,Accepted,In favor of Yellevate
France,"8976-AMJEO",7900770,2021-01-26,2021-02-25,6174,2021-03-03,36,6,Disputed,In favor of Yellevate
United States,"7758-WKLVM",5510823569,2020-04-11,2020-05-11,3006,2020-05-17,36,6,Accepted,In favor of Yellevate
United States,"7260-ZHAKS",5516916159,2021-01-23,2021-02-22,8332,2021-02-06,14,0,Accepted,In favor of Yellevate
United States,"0465-DTULQ",5519301828,2020-01-30,2020-02-29,5934,2020-03-21,51,21,Disputed,In favor of Yellevate
France,"4640-FGEJI",5531824498,2020-11-06,2020-12-06,9558,2020-12-06,30,0,Accepted,In favor of Yellevate
China,"8156-PCYBM",5535719066,2020-11-25,2020-12-25,4600,2020-12-20,25,0,Accepted,In favor of Yellevate
France,"1447-YZKCL",5536234391,2020-11-01,2020-12-01,6120,2020-12-10,39,9,Accepted,In favor of Yellevate
China,"1080-NDGAE",5536610902,2021-06-29,2021-07-29,8997,2021-08-01,33,3,Disputed,In favor of Yellevate
United States,"0625-TNJFG",5539674578,2021-11-05,2021-12-05,4440,2021-12-02,27,0,Accepted,In favor of Yellevate
Russia,"5924-UOPGH",5551365805,2020-09-22,2020-10-22,9658,2020-10-07,15,0,Accepted,In favor of Yellevate
France,"0783-PEPYR",5554040283,2021-02-17,2021-03-19,5936,2021-03-30,41,11,Accepted,In favor of Yellevate
Russia,"6627-ELFBK",5554804891,2021-08-21,2021-09-20,7724,2021-09-09,19,0,Accepted,In favor of Yellevate
France,"4651-PMEXQ",9071684141,2021-01-29,2021-02-28,10201,2021-03-10,40,10,Disputed,In favor of Yellevate
France,"7938-EVASK",5570997637,2020-01-19,2020-02-18,4377,2020-02-29,41,11,Accepted,In favor of Yellevate
France,"4092-ZAVRG",5584045928,2020-08-25,2020-09-24,7220,2020-08-28,3,0,Accepted,In favor of Yellevate
Russia,"3271-HYHDN",5584805665,2021-07-23,2021-08-22,7102,2021-07-23,0,0,Accepted,In favor of Yellevate
Russia,"5924-UOPGH",5589625888,2021-02-10,2021-03-12,6146,2021-03-02,20,0,Accepted,In favor of Yellevate
China,"7841-HROAQ",5591470956,2020-08-25,2020-09-24,7294,2020-09-25,31,1,Accepted,In favor of Yellevate
France,"6833-ETVHD",5600044644,2021-01-07,2021-02-06,6751,2021-01-22,15,0,Accepted,In favor of Yellevate
China,"2423-QOKIO",5600941018,2020-01-27,2020-02-26,5373,2020-03-05,38,8,Accepted,In favor of Yellevate
Russia,"5924-UOPGH",5601820333,2021-09-25,2021-10-25,7669,2021-10-09,14,0,Accepted,In favor of Yellevate
Russia,"6004-KITZM",5606369890,2021-02-23,2021-03-25,7090,2021-03-15,20,0,Accepted,In favor of Yellevate
Russia,"7695-NKUXM",5609216425,2020-11-16,2020-12-16,6940,2020-11-29,13,0,Accepted,In favor of Yellevate
Russia,"5613-UHVMG",5612029362,2021-02-07,2021-03-09,7282,2021-04-01,53,23,Disputed,In favor of Yellevate
France,"6833-ETVHD",5614207522,2021-01-24,2021-02-23,5925,2021-02-11,18,0,Accepted,In favor of Yellevate
France,"6048-QPZCF",5616666227,2021-05-16,2021-06-15,9296,2021-05-22,6,0,Accepted,In favor of Yellevate
Russia,"7946-HJDUR",5619336586,2021-06-03,2021-07-03,7507,2021-06-30,27,0,Accepted,In favor of Yellevate
United States,"7758-WKLVM",5627371581,2020-05-28,2020-06-27,5522,2020-06-25,28,0,Accepted,In favor of Yellevate
Spain,"0688-XNJRO",5633925313,2021-04-12,2021-05-12,3475,2021-06-04,53,23,Accepted,In favor of Yellevate
China,"9174-IYKOC",5636675950,2020-03-21,2020-04-20,6881,2020-05-12,52,22,Disputed,In favor of Yellevate
United States,"7050-KQLDO",5636946317,2021-04-07,2021-05-07,5724,2021-04-30,23,0,Accepted,In favor of Yellevate
United States,"9323-NDIOV",5641290183,2020-12-09,2021-01-08,5449,2021-01-07,29,0,Accepted,In favor of Yellevate
Russia,"6004-KITZM",5652779440,2020-11-20,2020-12-20,6427,2020-12-07,17,0,Accepted,In favor of Yellevate
Spain,"6391-GBFQJ",5663633073,2021-03-28,2021-04-27,733,2021-04-21,24,0,Accepted,In favor of Yellevate
France,"4640-FGEJI",5666197272,2021-09-01,2021-10-01,4237,2021-09-24,23,0,Accepted,In favor of Yellevate
China,"6160-HCSFI",5667168406,2021-06-04,2021-07-04,6897,2021-06-20,16,0,Accepted,In favor of Yellevate
United States,"9149-MATVB",5669083173,2021-07-02,2021-08-01,3626,2021-07-25,23,0,Accepted,In favor of Yellevate
United States,"4460-ZXNDN",5670127659,2020-10-01,2020-10-31,5960,2020-11-03,33,3,Disputed,In favor of Yellevate
United States,"0706-NRGUP",5671103218,2020-12-05,2021-01-04,2578,2020-12-30,25,0,Accepted,In favor of Yellevate
Russia,"1604-LIFKX",5672264098,2020-12-22,2021-01-21,5262,2021-02-05,45,15,Accepted,In favor of Yellevate
Spain,"3271-YDPUJ",5689526714,2021-01-21,2021-02-20,6444,2021-02-22,32,2,Disputed,In favor of Yellevate
China,"6160-HCSFI",5709007782,2021-02-02,2021-03-04,8552,2021-02-23,21,0,Accepted,In favor of Yellevate
Russia,"7946-HJDUR",5713630505,2021-08-19,2021-09-18,5194,2021-09-20,32,2,Accepted,In favor of Yellevate
Russia,"1604-LIFKX",5715617144,2020-06-28,2020-07-28,5991,2020-08-11,44,14,Accepted,In favor of Yellevate
France,"2621-XCLEH",5722625204,2020-03-23,2020-04-22,8905,2020-05-14,52,22,Accepted,In favor of Yellevate
France,"6833-ETVHD",5728598959,2021-10-17,2021-11-16,7170,2021-11-06,20,0,Accepted,In favor of Yellevate
China,"6632-CGYHU",5732190469,2021-08-07,2021-09-06,7051,2021-08-18,11,0,Accepted,In favor of Yellevate
France,"1447-YZKCL",5732886455,2020-09-13,2020-10-13,5514,2020-10-13,30,0,Accepted,In favor of Yellevate
United States,"6077-FDQRK",5734148846,2021-08-15,2021-09-14,5836,2021-08-27,12,0,Accepted,In favor of Yellevate
China,"7209-MDWKR",5743371067,2020-10-04,2020-11-03,5588,2020-11-14,41,11,Accepted,In favor of Yellevate
France,"8389-TCXFQ",2250514490,2021-01-31,2021-03-02,6278,2021-03-12,40,10,Disputed,In favor of Customer
France,"1447-YZKCL",5750325838,2021-11-16,2021-12-16,7733,2021-12-17,31,1,Disputed,In favor of Yellevate
France,"4651-PMEXQ",5753468265,2020-07-01,2020-07-31,9497,2020-08-02,32,2,Accepted,In favor of Yellevate
China,"0187-ERLSR",5759027335,2021-11-11,2021-12-11,8318,2021-11-24,13,0,Disputed,In favor of Yellevate
France,"8389-TCXFQ",7277413369,2021-02-09,2021-03-11,6241,2021-03-28,47,17,Disputed,In favor of Yellevate
Spain,"9286-VLKMI",5759365584,2021-02-13,2021-03-15,5143,2021-02-18,5,0,Accepted,In favor of Yellevate
Spain,"3676-CQAIF",5769308033,2020-06-10,2020-07-10,3532,2020-07-28,48,18,Disputed,In favor of Yellevate
France,"4092-ZAVRG",5769746861,2020-06-27,2020-07-27,7309,2020-06-30,3,0,Accepted,In favor of Yellevate
Russia,"3568-JJMFW",5770867325,2020-04-21,2020-05-21,6397,2020-05-03,12,0,Accepted,In favor of Yellevate
France,"0783-PEPYR",5777629589,2020-09-02,2020-10-02,5726,2020-10-09,37,7,Accepted,In favor of Yellevate
United States,"0625-TNJFG",5779088948,2020-11-19,2020-12-19,6284,2020-12-13,24,0,Accepted,In favor of Yellevate
China,"9212-BTDMX",5783904084,2020-07-15,2020-08-14,2491,2020-07-28,13,0,Accepted,In favor of Yellevate
China,"0379-NEVHP",5786890759,2021-01-09,2021-02-08,3441,2021-01-27,18,0,Accepted,In favor of Yellevate
United States,"2687-XWAMA",5792413329,2020-06-26,2020-07-26,4764,2020-07-10,14,0,Accepted,In favor of Yellevate
United States,"2026-XLBER",5796159925,2021-09-08,2021-10-08,5516,2021-09-17,9,0,Accepted,In favor of Yellevate
France,"5284-DJOZO",5802848218,2020-12-14,2021-01-13,8219,2020-12-18,4,0,Accepted,In favor of Yellevate
Spain,"8942-ERSWK",5804051179,2020-11-17,2020-12-17,2941,2020-12-03,16,0,Accepted,In favor of Yellevate
Spain,"1408-OQZUE",5822411556,2020-12-12,2021-01-11,6429,2021-01-27,46,16,Disputed,In favor of Yellevate
China,"6708-DPYTF",5826992356,2021-10-03,2021-11-02,10525,2021-11-03,31,1,Accepted,In favor of Yellevate
United States,"2687-XWAMA",5831823402,2020-01-21,2020-02-20,3278,2020-02-02,12,0,Accepted,In favor of Yellevate
United States,"0625-TNJFG",5833648536,2021-07-13,2021-08-12,8163,2021-08-04,22,0,Accepted,In favor of Yellevate
France,"2621-XCLEH",5834509499,2020-03-02,2020-04-01,6751,2020-04-28,57,27,Accepted,In favor of Yellevate
United States,"3831-FXWYK",5834961407,2020-08-09,2020-09-08,7390,2020-09-10,32,2,Accepted,In favor of Yellevate
France,"6833-ETVHD",5844695758,2020-01-10,2020-02-09,7166,2020-02-10,31,1,Accepted,In favor of Yellevate
United States,"9149-MATVB",5851010658,2020-04-01,2020-05-01,5610,2020-04-30,29,0,Accepted,In favor of Yellevate
United States,"0625-TNJFG",5853943614,2020-02-24,2020-03-25,6239,2020-03-25,30,0,Accepted,In favor of Yellevate
United States,"3831-FXWYK",5854224600,2021-09-02,2021-10-02,5631,2021-09-27,25,0,Accepted,In favor of Yellevate
Spain,"3271-YDPUJ",5861341441,2021-01-18,2021-02-17,4479,2021-02-24,37,7,Disputed,In favor of Yellevate
Spain,"9250-VHLWY",5863004374,2021-01-09,2021-02-08,5253,2021-02-11,33,3,Accepted,In favor of Yellevate
China,"5196-TWQXF",5865149984,2021-05-26,2021-06-25,5510,2021-06-16,21,0,Accepted,In favor of Yellevate
United States,"7050-KQLDO",5865665884,2020-01-28,2020-02-27,6489,2020-02-16,19,0,Accepted,In favor of Yellevate
United States,"7758-WKLVM",5865860062,2020-03-19,2020-04-18,4842,2020-05-09,51,21,Disputed,In favor of Yellevate
United States,"2687-XWAMA",5866198434,2020-05-13,2020-06-12,5625,2020-05-23,10,0,Accepted,In favor of Yellevate
China,"7209-MDWKR",5866933192,2021-07-14,2021-08-13,6232,2021-08-19,36,6,Accepted,In favor of Yellevate
Spain,"0688-XNJRO",5868117840,2020-07-05,2020-08-04,2442,2020-08-15,41,11,Accepted,In favor of Yellevate
Spain,"3271-YDPUJ",5870483009,2020-08-24,2020-09-23,2308,2020-09-13,20,0,Accepted,In favor of Yellevate
China,"6632-CGYHU",5872970998,2021-05-29,2021-06-28,8589,2021-06-06,8,0,Accepted,In favor of Yellevate
United States,"9149-MATVB",5876175760,2020-06-05,2020-07-05,6406,2020-07-13,38,8,Accepted,In favor of Yellevate
Russia,"8102-ABPKQ",5882624218,2021-03-17,2021-04-16,7685,2021-05-03,47,17,Disputed,In favor of Yellevate
France,"1447-YZKCL",5893003141,2020-05-25,2020-06-24,7136,2020-06-26,32,2,Accepted,In favor of Yellevate
China,"9174-IYKOC",5895996518,2021-07-09,2021-08-08,6539,2021-08-02,24,0,Accepted,In favor of Yellevate
Russia,"3568-JJMFW",5896450110,2020-12-30,2021-01-29,5693,2021-01-17,18,0,Disputed,In favor of Yellevate
China,"6708-DPYTF",5897876193,2020-07-04,2020-08-03,7681,2020-08-16,43,13,Accepted,In favor of Yellevate
France,"7938-EVASK",5900977077,2021-05-04,2021-06-03,6579,2021-05-28,24,0,Accepted,In favor of Yellevate
France,"9771-QTLGZ",7880714904,2021-02-09,2021-03-11,6107,2021-02-25,16,0,Disputed,In favor of Yellevate
China,"9174-IYKOC",5905976017,2021-03-19,2021-04-18,5746,2021-04-06,18,0,Accepted,In favor of Yellevate
United States,"3831-FXWYK",5908935254,2021-03-25,2021-04-24,8586,2021-04-27,33,3,Accepted,In favor of Yellevate
Spain,"9250-VHLWY",5915326736,2020-04-16,2020-05-16,4970,2020-05-08,22,0,Accepted,In favor of Yellevate
China,"7209-MDWKR",5916379112,2020-01-21,2020-02-20,8190,2020-02-16,26,0,Accepted,In favor of Yellevate
France,"9322-YCTQO",5920658489,2021-10-30,2021-11-29,9132,2021-11-25,26,0,Accepted,In favor of Yellevate
Russia,"1604-LIFKX",5928070131,2020-01-03,2020-02-02,9760,2020-02-25,53,23,Accepted,In favor of Yellevate
Spain,"1168-BEASA",5934744260,2021-08-18,2021-09-17,5868,2021-09-12,25,0,Accepted,In favor of Yellevate
Spain,"6177-VTITE",5937906260,2021-06-30,2021-07-30,2189,2021-07-14,14,0,Accepted,In favor of Yellevate
France,"9758-AIEIK",5939094178,2020-02-13,2020-03-14,5542,2020-03-03,19,0,Accepted,In favor of Yellevate
China,"2423-QOKIO",5939164853,2020-07-09,2020-08-08,7043,2020-08-16,38,8,Accepted,In favor of Yellevate
Russia,"8887-NCUZC",5945158356,2021-06-11,2021-07-11,5319,2021-07-09,28,0,Accepted,In favor of Yellevate
United States,"5592-UQXSS",5949242829,2021-11-06,2021-12-06,4487,2021-12-11,35,5,Disputed,In favor of Yellevate
United States,"3831-FXWYK",5950285853,2021-01-05,2021-02-04,6312,2021-02-18,44,14,Disputed,In favor of Yellevate
China,"5196-TWQXF",5955530230,2021-05-13,2021-06-12,1657,2021-06-04,22,0,Accepted,In favor of Yellevate
United States,"3831-FXWYK",5959305622,2021-11-18,2021-12-18,7837,2021-12-15,27,0,Accepted,In favor of Yellevate
Spain,"0688-XNJRO",5963438295,2021-07-16,2021-08-15,2579,2021-08-23,38,8,Accepted,In favor of Yellevate
Spain,"8690-EEBEO",5972339733,2020-08-19,2020-09-18,5940,2020-09-23,35,5,Accepted,In favor of Yellevate
France,"8976-AMJEO",5978287436,2021-05-23,2021-06-22,3960,2021-06-18,26,0,Accepted,In favor of Yellevate
China,"2125-HJDLA",5983180705,2020-03-07,2020-04-06,3845,2020-04-22,46,16,Accepted,In favor of Yellevate
France,"5573-KSOIA",5984065624,2021-08-29,2021-09-28,8737,2021-09-30,32,2,Accepted,In favor of Yellevate
France,"6048-QPZCF",8514889441,2021-02-10,2021-03-12,9214,2021-02-22,12,0,Disputed,In favor of Yellevate
Spain,"6177-VTITE",5991374516,2021-11-02,2021-12-02,5511,2021-11-10,8,0,Accepted,In favor of Yellevate
Russia,"2824-HJQPP",5993794287,2021-07-27,2021-08-26,3602,2021-08-18,22,0,Accepted,In favor of Yellevate
China,"0187-ERLSR",5995302563,2021-03-04,2021-04-03,3172,2021-03-11,7,0,Accepted,In favor of Yellevate
China,"9174-IYKOC",5995642092,2020-03-08,2020-04-07,3546,2020-04-12,35,5,Accepted,In favor of Yellevate
Spain,"7654-DOLHO",5999019394,2020-12-27,2021-01-26,526,2021-01-23,27,0,Accepted,In favor of Yellevate
United States,"2687-XWAMA",6008733621,2021-10-14,2021-11-13,4880,2021-10-19,5,0,Accepted,In favor of Yellevate
Russia,"8887-NCUZC",6014957446,2021-10-09,2021-11-08,5555,2021-11-13,35,5,Disputed,In favor of Yellevate
Spain,"3271-YDPUJ",6017503839,2021-05-27,2021-06-26,3023,2021-06-12,16,0,Accepted,In favor of Yellevate
China,"0187-ERLSR",6018471272,2021-05-07,2021-06-06,7987,2021-05-15,8,0,Accepted,In favor of Yellevate
China,"9174-IYKOC",6019130159,2020-10-13,2020-11-12,7375,2020-11-06,24,0,Accepted,In favor of Yellevate
United States,"6077-FDQRK",6021346193,2020-07-26,2020-08-25,6303,2020-08-17,22,0,Accepted,In favor of Yellevate
United States,"4460-ZXNDN",6023663421,2020-04-09,2020-05-09,6197,2020-05-25,46,16,Disputed,In favor of Yellevate
Russia,"8364-UWVLM",6025796693,2020-02-29,2020-03-30,6831,2020-03-29,29,0,Accepted,In favor of Yellevate
Russia,"5875-VZQCZ",6032999481,2021-03-18,2021-04-17,8121,2021-05-11,54,24,Disputed,In favor of Yellevate
France,"6048-QPZCF",284482411,2021-02-14,2021-03-16,8790,2021-03-17,31,1,Disputed,In favor of Yellevate
United States,"6077-FDQRK",6035899942,2020-07-10,2020-08-09,5352,2020-08-02,23,0,Accepted,In favor of Yellevate
France,"6048-QPZCF",6040813966,2020-09-25,2020-10-25,8423,2020-09-30,5,0,Accepted,In favor of Yellevate
Russia,"6004-KITZM",6045344090,2021-04-16,2021-05-16,7288,2021-05-05,19,0,Accepted,In favor of Yellevate
Russia,"8887-NCUZC",6050714721,2020-01-03,2020-02-02,1599,2020-02-15,43,13,Disputed,In favor of Yellevate
Russia,"7695-NKUXM",6051615131,2020-08-25,2020-09-24,2752,2020-08-29,4,0,Accepted,In favor of Yellevate
United States,"0625-TNJFG",6052640963,2021-11-11,2021-12-11,8368,2021-12-01,20,0,Accepted,In favor of Yellevate
France,"4092-ZAVRG",6053161771,2021-02-10,2021-03-12,7356,2021-02-11,1,0,Accepted,In favor of Yellevate
China,"2125-HJDLA",6059076054,2020-10-05,2020-11-04,3205,2020-10-31,26,0,Accepted,In favor of Yellevate
China,"9841-XLGBV",6059357698,2021-07-27,2021-08-26,3112,2021-08-24,28,0,Accepted,In favor of Yellevate
France,"7938-EVASK",6062304635,2020-09-07,2020-10-07,11121,2020-09-29,22,0,Accepted,In favor of Yellevate
Russia,"5148-SYKLB",6067368978,2020-06-18,2020-07-18,8848,2020-07-31,43,13,Disputed,In favor of Yellevate
United States,"3993-QUNVJ",6079394028,2020-07-23,2020-08-22,6176,2020-08-09,17,0,Accepted,In favor of Yellevate
Spain,"6177-VTITE",6080109452,2021-02-11,2021-03-13,5705,2021-02-27,16,0,Accepted,In favor of Yellevate
United States,"7228-LEPPM",6081045243,2020-06-30,2020-07-30,6915,2020-08-13,44,14,Accepted,In favor of Yellevate
China,"6708-DPYTF",6085710390,2021-04-29,2021-05-29,8204,2021-05-23,24,0,Accepted,In favor of Yellevate
Spain,"0688-XNJRO",6088063371,2020-02-08,2020-03-09,6828,2020-03-25,46,16,Accepted,In favor of Yellevate
Spain,"6296-UKEUZ",6089084877,2020-03-16,2020-04-15,4339,2020-03-18,2,0,Accepted,In favor of Yellevate
Spain,"1168-BEASA",6095691270,2020-09-06,2020-10-06,4317,2020-09-25,19,0,Accepted,In favor of Yellevate
France,"2621-XCLEH",6107289576,2021-04-27,2021-05-27,6576,2021-06-03,37,7,Accepted,In favor of Yellevate
China,"6160-HCSFI",6107650729,2020-07-26,2020-08-25,6072,2020-08-21,26,0,Accepted,In favor of Yellevate
France,"3448-OWJOT",7792341685,2021-01-01,2021-01-31,7135,2021-02-04,34,4,Disputed,In favor of Customer
Spain,"9286-VLKMI",6110785497,2020-06-01,2020-07-01,8650,2020-06-10,9,0,Accepted,In favor of Yellevate
France,"8389-TCXFQ",4171825761,2021-02-25,2021-03-27,8867,2021-03-26,29,0,Disputed,In favor of Customer
United States,"7856-ODQFO",6115848018,2020-07-02,2020-08-01,3012,2020-08-01,30,0,Accepted,In favor of Yellevate
United States,"3831-FXWYK",6120905901,2020-09-01,2020-10-01,7839,2020-09-27,26,0,Accepted,In favor of Yellevate
United States,"0465-DTULQ",6128855877,2021-11-25,2021-12-25,7236,2021-12-23,28,0,Accepted,In favor of Yellevate
Spain,"1168-BEASA",6133129097,2021-04-22,2021-05-22,5207,2021-05-15,23,0,Accepted,In favor of Yellevate
China,"3569-VJWXS",6140117683,2021-08-31,2021-09-30,6026,2021-09-17,17,0,Accepted,In favor of Yellevate
France,"8976-AMJEO",6140327615,2020-07-08,2020-08-07,5459,2020-07-26,18,0,Accepted,In favor of Yellevate
United States,"2447-JCFGW",6149070076,2020-05-29,2020-06-28,5096,2020-06-24,26,0,Accepted,In favor of Yellevate
Russia,"5875-VZQCZ",6151783720,2021-11-04,2021-12-04,6217,2021-12-07,33,3,Disputed,In favor of Yellevate
France,"3448-OWJOT",9398281591,2021-02-23,2021-03-25,5931,2021-03-28,33,3,Disputed,In favor of Yellevate
China,"0379-NEVHP",6164052759,2020-09-10,2020-10-10,7297,2020-09-28,18,0,Accepted,In favor of Yellevate
France,"4651-PMEXQ",6166200189,2021-06-13,2021-07-13,7876,2021-06-30,17,0,Accepted,In favor of Yellevate
Spain,"9286-VLKMI",6170784196,2020-12-07,2021-01-06,6039,2020-12-16,9,0,Accepted,In favor of Yellevate
China,"5196-TWQXF",6172286856,2020-04-09,2020-05-09,3011,2020-05-14,35,5,Accepted,In favor of Yellevate
China,"2125-HJDLA",6178537152,2021-11-13,2021-12-13,8268,2022-01-03,51,21,Disputed,In favor of Yellevate
China,"0709-LZRJV",6179146246,2021-11-28,2021-12-28,3282,2021-12-26,28,0,Accepted,In favor of Yellevate
United States,"6831-FIODB",6180284302,2021-01-30,2021-03-01,3090,2021-03-06,35,5,Accepted,In favor of Yellevate
France,"4651-PMEXQ",6191014036,2021-09-02,2021-10-02,6987,2021-10-01,29,0,Accepted,In favor of Yellevate
Spain,"9883-SDWFS",6195238206,2020-09-28,2020-10-28,1405,2020-11-01,34,4,Accepted,In favor of Yellevate
Spain,"3676-CQAIF",6197031775,2020-09-27,2020-10-27,6321,2020-11-10,44,14,Accepted,In favor of Yellevate
France,"4092-ZAVRG",291694356,2021-02-27,2021-03-29,6965,2021-03-11,12,0,Disputed,In favor of Yellevate
United States,"3831-FXWYK",6211621442,2020-03-03,2020-04-02,11701,2020-04-20,48,18,Accepted,In favor of Yellevate
China,"6632-CGYHU",6215256535,2021-07-04,2021-08-03,11444,2021-07-15,11,0,Accepted,In favor of Yellevate
China,"6160-HCSFI",6216182013,2020-08-22,2020-09-21,7486,2020-09-08,17,0,Accepted,In favor of Yellevate
Russia,"7695-NKUXM",6217512898,2020-08-30,2020-09-29,4552,2020-09-27,28,0,Disputed,In favor of Yellevate
Spain,"8690-EEBEO",6219456346,2020-05-16,2020-06-15,7126,2020-07-07,52,22,Accepted,In favor of Yellevate
Russia,"2824-HJQPP",6222252019,2020-03-19,2020-04-18,5079,2020-04-06,18,0,Accepted,In favor of Yellevate
Russia,"5924-UOPGH",6224002160,2020-01-30,2020-02-29,7210,2020-02-23,24,0,Accepted,In favor of Yellevate
China,"2676-DZINU",6225729341,2020-07-20,2020-08-19,5389,2020-08-13,24,0,Accepted,In favor of Yellevate
France,"9117-LYRCE",6235560565,2021-10-04,2021-11-03,5973,2021-10-28,24,0,Disputed,In favor of Yellevate
Russia,"5613-UHVMG",6238372501,2020-11-01,2020-12-01,7403,2020-12-09,38,8,Accepted,In favor of Yellevate
Russia,"7946-HJDUR",6242434931,2021-05-29,2021-06-28,4008,2021-06-18,20,0,Accepted,In favor of Yellevate
United States,"6831-FIODB",6247830671,2020-12-22,2021-01-21,6367,2021-01-19,28,0,Accepted,In favor of Yellevate
Spain,"3676-CQAIF",6248246137,2020-05-03,2020-06-02,5684,2020-06-08,36,6,Accepted,In favor of Yellevate
China,"5529-TBPGK",6248446618,2020-12-09,2021-01-08,4983,2021-01-12,34,4,Accepted,In favor of Yellevate
France,"9771-QTLGZ",5508245592,2021-02-28,2021-03-30,4887,2021-03-09,9,0,Disputed,In favor of Customer
Spain,"9250-VHLWY",6254234391,2020-11-20,2020-12-20,6416,2020-12-08,18,0,Accepted,In favor of Yellevate
Spain,"0688-XNJRO",6254565489,2021-11-15,2021-12-15,5604,2022-01-05,51,21,Accepted,In favor of Yellevate
Spain,"8942-ERSWK",6256102305,2021-07-22,2021-08-21,1400,2021-07-27,5,0,Accepted,In favor of Yellevate
France,"8389-TCXFQ",3086321519,2021-03-01,2021-03-31,5338,2021-04-13,43,13,Disputed,In favor of Yellevate
France,"9117-LYRCE",3090463749,2021-03-01,2021-03-31,5869,2021-04-30,60,30,Disputed,In favor of Customer
France,"9758-AIEIK",6268305498,2021-01-18,2021-02-17,8530,2021-02-07,20,0,Accepted,In favor of Yellevate
France,"6833-ETVHD",6268716975,2020-08-22,2020-09-21,4458,2020-09-11,20,0,Accepted,In favor of Yellevate
France,"5284-DJOZO",6272696799,2020-07-31,2020-08-30,5038,2020-08-10,10,0,Accepted,In favor of Yellevate
United States,"0625-TNJFG",6273031192,2021-02-22,2021-03-24,5764,2021-03-28,34,4,Accepted,In favor of Yellevate
China,"7329-TWKLF",6273968942,2020-02-25,2020-03-26,9211,2020-03-22,26,0,Accepted,In favor of Yellevate
China,"5196-TWQXF",6274787669,2020-08-24,2020-09-23,6954,2020-09-23,30,0,Accepted,In favor of Yellevate
China,"0187-ERLSR",6279951505,2021-11-25,2021-12-25,6557,2021-12-12,17,0,Disputed,In favor of Yellevate
United States,"7856-ODQFO",6287088969,2021-03-08,2021-04-07,6167,2021-03-31,23,0,Accepted,In favor of Yellevate
China,"9841-XLGBV",6288520521,2020-03-31,2020-04-30,4443,2020-04-24,24,0,Accepted,In favor of Yellevate
Spain,"7654-DOLHO",6288740790,2020-03-11,2020-04-10,2305,2020-04-16,36,6,Accepted,In favor of Yellevate
United States,"7856-ODQFO",6292573032,2021-04-16,2021-05-16,6114,2021-05-21,35,5,Disputed,In favor of Yellevate
China,"2676-DZINU",6299892020,2021-09-24,2021-10-24,7666,2021-10-11,17,0,Accepted,In favor of Yellevate
United States,"0625-TNJFG",6301784259,2020-08-24,2020-09-23,4218,2020-09-13,20,0,Accepted,In favor of Yellevate
United States,"2687-XWAMA",6303890920,2021-11-23,2021-12-23,4478,2021-12-15,22,0,Disputed,In favor of Yellevate
China,"2423-QOKIO",6309336631,2021-09-10,2021-10-10,7653,2021-09-25,15,0,Accepted,In favor of Yellevate
United States,"2687-XWAMA",6310497928,2020-04-30,2020-05-30,5973,2020-05-14,14,0,Accepted,In favor of Yellevate
China,"2820-XGXSB",6312340515,2021-01-05,2021-02-04,6850,2021-01-08,3,0,Accepted,In favor of Yellevate
France,"2621-XCLEH",6837368660,2021-03-01,2021-03-31,5896,2021-04-25,55,25,Disputed,In favor of Yellevate
United States,"0625-TNJFG",6326625438,2021-01-24,2021-02-23,6575,2021-02-16,23,0,Accepted,In favor of Yellevate
Russia,"5875-VZQCZ",6332346154,2020-03-18,2020-04-17,6381,2020-04-07,20,0,Accepted,In favor of Yellevate
United States,"3993-QUNVJ",6332637140,2021-09-17,2021-10-17,5809,2021-09-24,7,0,Accepted,In favor of Yellevate
Spain,"8942-ERSWK",6342800937,2021-11-29,2021-12-29,2235,2021-12-03,4,0,Accepted,In favor of Yellevate
China,"7841-HROAQ",6345328269,2021-06-10,2021-07-10,6895,2021-07-08,28,0,Accepted,In favor of Yellevate
